Article_Index,SARI_Score,NatGeo_to_Wikipedia_SARI,Wikipedia_to_NatGeo_SARI
439,0.0762,0.1337,0.0187
440,0.0664,0.1036,0.0291
441,0.0442,0.0707,0.0177
442,0.0447,0.0542,0.0352
443,0.0264,0.0506,0.0022
444,0.1163,0.1594,0.0732
445,0.0753,0.1145,0.0361
446,0.1580,0.2624,0.0535
447,0.1524,0.2179,0.0870
448,0.0244,0.0264,0.0224
449,0.0836,0.1011,0.0661
450,0.1007,0.1216,0.0799
451,0.0766,0.1287,0.0245
452,0.0244,0.0360,0.0128
453,0.0833,0.1121,0.0544
454,0.1628,0.2606,0.0651
455,0.1207,0.2006,0.0408
456,0.0658,0.0988,0.0328
457,0.1089,0.1728,0.0449
458,0.0056,0.0064,0.0047
459,0.0426,0.0792,0.0060
460,0.1732,0.2486,0.0977
461,0.1785,0.2879,0.0690
462,0.1075,0.1686,0.0465
463,0.1442,0.2170,0.0714
464,0.0511,0.1000,0.0022
465,0.0801,0.0872,0.0730
466,0.2216,0.3446,0.0987
467,0.0860,0.1108,0.0613
468,0.0433,0.0681,0.0184
469,0.0491,0.0833,0.0149
470,0.0149,0.0262,0.0037
471,0.1071,0.1421,0.0722
472,0.1788,0.2935,0.0642
473,0.0782,0.0606,0.0958
474,0.0366,0.0280,0.0451
475,0.0677,0.0685,0.0668
476,0.0150,0.0089,0.0212
477,0.1863,0.2835,0.0892
478,0.1589,0.2402,0.0777
479,0.2236,0.3516,0.0956
480,0.0356,0.0562,0.0149
481,0.1071,0.1673,0.0469
482,0.1415,0.2545,0.0285
483,0.0840,0.0990,0.0690
484,0.2136,0.3664,0.0607
485,0.1509,0.2707,0.0310
486,0.2082,0.2947,0.1216
487,0.1041,0.1636,0.0446
488,0.0724,0.0828,0.0619
489,0.1197,0.1908,0.0485
490,0.1179,0.1462,0.0897
491,0.0590,0.0709,0.0471
492,0.0984,0.1089,0.0880
493,0.0981,0.1477,0.0486
494,0.2007,0.3089,0.0924
495,0.2336,0.3764,0.0909
496,0.2331,0.3570,0.1092
497,0.2105,0.3437,0.0772
498,0.1332,0.1762,0.0903
499,0.0931,0.0850,0.1011
500,0.1334,0.2130,0.0539
501,0.0942,0.1259,0.0626
502,0.0638,0.0831,0.0445
503,0.0845,0.1057,0.0632
504,0.0673,0.1044,0.0301
505,0.0936,0.1563,0.0309
506,0.1291,0.1975,0.0607
507,0.1191,0.1841,0.0541
508,0.0881,0.1488,0.0274
509,0.1039,0.1746,0.0332
510,0.1143,0.1124,0.1162
511,0.2138,0.3465,0.0811
512,0.0744,0.1092,0.0396
513,0.2584,0.5000,0.0167
514,0.0296,0.0407,0.0184
515,0.0983,0.1662,0.0303
516,0.1859,0.2879,0.0839
517,0.1624,0.2154,0.1093
518,0.1909,0.2854,0.0963
519,0.0647,0.0967,0.0327
520,0.1491,0.2174,0.0809
521,0.1872,0.2160,0.1584
522,0.1540,0.1937,0.1142
523,0.1093,0.1362,0.0825
524,0.2069,0.3846,0.0293
525,0.1097,0.1705,0.0489
